review_order	open_this_file	WHAT_TO_FILL_ON_THIS_ROW	row_kind	priority	content_sha256	promoted_in_release	title	source_path	risk_tier	signal_classes	finding_count	pages	finding_id	pattern_id	page	extraction_path	review_bundle_dir	prior_v1_decision_not_extended	currentness_declared	allowed_options	HUMAN_DECISION	FINDING_DISPOSITION	JUSTIFICATION_CATEGORY	REVIEWER_LOGIN	EVIDENCE_REFERENCE	COMMENT
1	(source Drive) 01_EDUSCOL_OFFICIEL/LYCEE/TRANSVERSAL_MULTI_NIVEAUX/90_ARCHIVE_CATALOGUE/DGEMC/07_DIAPORAMAS_SUPPORTS/2021/glossaire--174f273ff2.pdf	HUMAN_DECISION + REVIEWER_LOGIN (+ EVIDENCE_REFERENCE si KEEP_IF_STILL_CURRENT_WITH_EVIDENCE)	CURRENTNESS_CONTENT	P1_PROMOTED_BLOCKS_RELEASE	174f273ff25818064be60cd4c7cded89ab8f257de484b32a21250578f323149b	true		01_EDUSCOL_OFFICIEL/LYCEE/TRANSVERSAL_MULTI_NIVEAUX/90_ARCHIVE_CATALOGUE/DGEMC/07_DIAPORAMAS_SUPPORTS/2021/glossaire--174f273ff2.pdf											ARCHIVE_DECLARED	KEEP_IF_STILL_CURRENT_WITH_EVIDENCE|REPLACE_WITH_CURRENT_SOURCE|EXCLUDE_FROM_PROMOTED_RELEASE|HUMAN_REVIEW_REQUIRED						
2	(source Drive) 01_EDUSCOL_OFFICIEL/LYCEE/SECONDE/SVT/04_EVALUATIONS_EXAMENS/2024/pour-la-voie-technologique--ccffe628bb.pdf	HUMAN_DECISION + REVIEWER_LOGIN (+ EVIDENCE_REFERENCE si KEEP_IF_STILL_CURRENT_WITH_EVIDENCE)	CURRENTNESS_CONTENT	P1_PROMOTED_BLOCKS_RELEASE	ccffe628bbd64e34a8442a045f95ec2ef65109765c0a0a476c0156aa84a5f9a2	true		01_EDUSCOL_OFFICIEL/LYCEE/SECONDE/SVT/04_EVALUATIONS_EXAMENS/2024/pour-la-voie-technologique--ccffe628bb.pdf											ARCHIVE_DECLARED	KEEP_IF_STILL_CURRENT_WITH_EVIDENCE|REPLACE_WITH_CURRENT_SOURCE|EXCLUDE_FROM_PROMOTED_RELEASE|HUMAN_REVIEW_REQUIRED						
3	(source Drive) 01_EDUSCOL_OFFICIEL/LYCEE/SECONDE/SVT/04_EVALUATIONS_EXAMENS/2024/pour-la-voie-generale--dc58fcc42e.pdf	HUMAN_DECISION + REVIEWER_LOGIN (+ EVIDENCE_REFERENCE si KEEP_IF_STILL_CURRENT_WITH_EVIDENCE)	CURRENTNESS_CONTENT	P1_PROMOTED_BLOCKS_RELEASE	dc58fcc42ef9b4e6d15a129124eff54ce5d76e0e16e1e4f62115b64482e94fd2	true		01_EDUSCOL_OFFICIEL/LYCEE/SECONDE/SVT/04_EVALUATIONS_EXAMENS/2024/pour-la-voie-generale--dc58fcc42e.pdf											ARCHIVE_DECLARED	KEEP_IF_STILL_CURRENT_WITH_EVIDENCE|REPLACE_WITH_CURRENT_SOURCE|EXCLUDE_FROM_PROMOTED_RELEASE|HUMAN_REVIEW_REQUIRED						
4	$NEXUS_PII_REVIEW_ROOT/703cbd759841b016d5acac15df02a3c17ef273430e28f46fd5d9498b0606d3f5/document.pdf	HUMAN_DECISION + JUSTIFICATION_CATEGORY + REVIEWER_LOGIN (après ses findings)	PII_CONTENT	P1_PROMOTED_BLOCKS_RELEASE	703cbd759841b016d5acac15df02a3c17ef273430e28f46fd5d9498b0606d3f5	true	le-paradigme-fonctionnel-pdf-404-66-ko--703cbd7598	01_EDUSCOL_OFFICIEL/LYCEE/TERMINALE/NSI/04_EVALUATIONS_EXAMENS/2021/le-paradigme-fonctionnel-pdf-404-66-ko--703cbd7598.pdf	ELEVE	french_ssn|phone_french	6	4					703cbd759841b016d5acac15df02a3c17ef273430e28f46fd5d9498b0606d3f5	APPROVED/TECHNICAL_FALSE_POSITIVE	NEEDS_SECONDARY_EVIDENCE	PII_CLEARED|PII_REDACTION_REQUIRED|EXCLUDE_FROM_SERVABLE_SET|HUMAN_REVIEW_REQUIRED						
5	$NEXUS_PII_REVIEW_ROOT/703cbd759841b016d5acac15df02a3c17ef273430e28f46fd5d9498b0606d3f5/pages/page-0004.txt	FINDING_DISPOSITION	PII_FINDING	P1_PROMOTED_BLOCKS_RELEASE	703cbd759841b016d5acac15df02a3c17ef273430e28f46fd5d9498b0606d3f5	true			ELEVE				0c4ca5b9126177c767716b690da95421f6056bac0968a735e4ef595e5a9ef6b8	phone_french	4	NATIVE_TEXT	703cbd759841b016d5acac15df02a3c17ef273430e28f46fd5d9498b0606d3f5			FALSE_POSITIVE_TECHNICAL|PUBLIC_INSTITUTIONAL_DATA|SYNTHETIC_EXAMPLE|PERSONAL_DATA_PRESENT						
6	$NEXUS_PII_REVIEW_ROOT/703cbd759841b016d5acac15df02a3c17ef273430e28f46fd5d9498b0606d3f5/pages/page-0004.txt	FINDING_DISPOSITION	PII_FINDING	P1_PROMOTED_BLOCKS_RELEASE	703cbd759841b016d5acac15df02a3c17ef273430e28f46fd5d9498b0606d3f5	true			ELEVE				0ed726be2ca3ecafe5dedf214e4c34e3418ad144cd3c78eae314cff5e5a8ffb8	french_ssn	4	NATIVE_TEXT	703cbd759841b016d5acac15df02a3c17ef273430e28f46fd5d9498b0606d3f5			FALSE_POSITIVE_TECHNICAL|PUBLIC_INSTITUTIONAL_DATA|SYNTHETIC_EXAMPLE|PERSONAL_DATA_PRESENT						
7	$NEXUS_PII_REVIEW_ROOT/703cbd759841b016d5acac15df02a3c17ef273430e28f46fd5d9498b0606d3f5/pages/page-0004.txt	FINDING_DISPOSITION	PII_FINDING	P1_PROMOTED_BLOCKS_RELEASE	703cbd759841b016d5acac15df02a3c17ef273430e28f46fd5d9498b0606d3f5	true			ELEVE				77694e9e65ac8bf18b60cdd99e0a3457bb8af1a848cb50b08477622a98d8f87e	phone_french	4	NATIVE_TEXT	703cbd759841b016d5acac15df02a3c17ef273430e28f46fd5d9498b0606d3f5			FALSE_POSITIVE_TECHNICAL|PUBLIC_INSTITUTIONAL_DATA|SYNTHETIC_EXAMPLE|PERSONAL_DATA_PRESENT						
8	$NEXUS_PII_REVIEW_ROOT/703cbd759841b016d5acac15df02a3c17ef273430e28f46fd5d9498b0606d3f5/pages/page-0004.txt	FINDING_DISPOSITION	PII_FINDING	P1_PROMOTED_BLOCKS_RELEASE	703cbd759841b016d5acac15df02a3c17ef273430e28f46fd5d9498b0606d3f5	true			ELEVE				adff4d5c1c77f78bba666119997bfa82467ed48958afbf46e5b29be5b1a873b7	french_ssn	4	NATIVE_TEXT	703cbd759841b016d5acac15df02a3c17ef273430e28f46fd5d9498b0606d3f5			FALSE_POSITIVE_TECHNICAL|PUBLIC_INSTITUTIONAL_DATA|SYNTHETIC_EXAMPLE|PERSONAL_DATA_PRESENT						
9	$NEXUS_PII_REVIEW_ROOT/703cbd759841b016d5acac15df02a3c17ef273430e28f46fd5d9498b0606d3f5/pages/page-0004.txt	FINDING_DISPOSITION	PII_FINDING	P1_PROMOTED_BLOCKS_RELEASE	703cbd759841b016d5acac15df02a3c17ef273430e28f46fd5d9498b0606d3f5	true			ELEVE				cf8e243f1662fafc63884a5bea96ddbb206c3d707fc3e29838a24fa81c0c15ea	french_ssn	4	NATIVE_TEXT	703cbd759841b016d5acac15df02a3c17ef273430e28f46fd5d9498b0606d3f5			FALSE_POSITIVE_TECHNICAL|PUBLIC_INSTITUTIONAL_DATA|SYNTHETIC_EXAMPLE|PERSONAL_DATA_PRESENT						
10	$NEXUS_PII_REVIEW_ROOT/703cbd759841b016d5acac15df02a3c17ef273430e28f46fd5d9498b0606d3f5/pages/page-0004.txt	FINDING_DISPOSITION	PII_FINDING	P1_PROMOTED_BLOCKS_RELEASE	703cbd759841b016d5acac15df02a3c17ef273430e28f46fd5d9498b0606d3f5	true			ELEVE				cf9ca24cdc4fde18347b87b2afa3cdfff5c2eb041e330866b24e26c7438fb02c	french_ssn	4	NATIVE_TEXT	703cbd759841b016d5acac15df02a3c17ef273430e28f46fd5d9498b0606d3f5			FALSE_POSITIVE_TECHNICAL|PUBLIC_INSTITUTIONAL_DATA|SYNTHETIC_EXAMPLE|PERSONAL_DATA_PRESENT						
11	$NEXUS_PII_REVIEW_ROOT/04bf557a574c4d553fab35eb3175f6f638dd129ffa785ca640367ae5c109881c/document.pdf	HUMAN_DECISION + JUSTIFICATION_CATEGORY + REVIEWER_LOGIN (après ses findings)	PII_CONTENT	P1_PROMOTED_BLOCKS_RELEASE	04bf557a574c4d553fab35eb3175f6f638dd129ffa785ca640367ae5c109881c	true	la-conservation-des-genomes-stabilite-genetique-et-evolution-clonale-remobiliser-des-prerequis-et-presentation-orale-pdf-1-19-mo--04bf557a57	01_EDUSCOL_OFFICIEL/LYCEE/SECONDE/SVT/04_EVALUATIONS_EXAMENS/2021/la-conservation-des-genomes-stabilite-genetique-et-evolution-clonale-remobiliser-des-prerequis-et-presentation-orale-pdf-1-19-mo--04bf557a57.pdf	MOYEN	postal_address	1	9					04bf557a574c4d553fab35eb3175f6f638dd129ffa785ca640367ae5c109881c	APPROVED/TECHNICAL_FALSE_POSITIVE	NEEDS_SECONDARY_EVIDENCE	PII_CLEARED|PII_REDACTION_REQUIRED|EXCLUDE_FROM_SERVABLE_SET|HUMAN_REVIEW_REQUIRED						
12	$NEXUS_PII_REVIEW_ROOT/04bf557a574c4d553fab35eb3175f6f638dd129ffa785ca640367ae5c109881c/pages/page-0009.txt	FINDING_DISPOSITION	PII_FINDING	P1_PROMOTED_BLOCKS_RELEASE	04bf557a574c4d553fab35eb3175f6f638dd129ffa785ca640367ae5c109881c	true			MOYEN				cedd292b65b2c853196536d0a5e8b32e8cb2499c1a507b512038378d454b5b3f	postal_address	9	NATIVE_TEXT	04bf557a574c4d553fab35eb3175f6f638dd129ffa785ca640367ae5c109881c			FALSE_POSITIVE_TECHNICAL|PUBLIC_INSTITUTIONAL_DATA|SYNTHETIC_EXAMPLE|PERSONAL_DATA_PRESENT						
13	$NEXUS_PII_REVIEW_ROOT/0dda163a792284e1e0df97c0ee72e8c04722bd145684db49a7095cb3b8e6ddc3/document.pdf	HUMAN_DECISION + JUSTIFICATION_CATEGORY + REVIEWER_LOGIN (après ses findings)	PII_CONTENT	P1_PROMOTED_BLOCKS_RELEASE	0dda163a792284e1e0df97c0ee72e8c04722bd145684db49a7095cb3b8e6ddc3	true	former-les-eleves-a-des-techniques-de-biologie-moleculaire-et-de-bioinformatique-et-apprehender-le-concept-d-holobionte-pdf-5-31-m--0dda163a79	01_EDUSCOL_OFFICIEL/LYCEE/SECONDE/SVT/09_AUTRES/2020/former-les-eleves-a-des-techniques-de-biologie-moleculaire-et-de-bioinformatique-et-apprehender-le-concept-d-holobionte-pdf-5-31-m--0dda163a79.pdf	MOYEN	phone_french	1	4					0dda163a792284e1e0df97c0ee72e8c04722bd145684db49a7095cb3b8e6ddc3	APPROVED/TECHNICAL_FALSE_POSITIVE	NEEDS_SECONDARY_EVIDENCE	PII_CLEARED|PII_REDACTION_REQUIRED|EXCLUDE_FROM_SERVABLE_SET|HUMAN_REVIEW_REQUIRED						
14	$NEXUS_PII_REVIEW_ROOT/0dda163a792284e1e0df97c0ee72e8c04722bd145684db49a7095cb3b8e6ddc3/pages/page-0004.txt	FINDING_DISPOSITION	PII_FINDING	P1_PROMOTED_BLOCKS_RELEASE	0dda163a792284e1e0df97c0ee72e8c04722bd145684db49a7095cb3b8e6ddc3	true			MOYEN				450bdc3ab27452436215b8fd6bd9de4e4818a670652eddca09ad8bc044b989d9	phone_french	4	NATIVE_TEXT	0dda163a792284e1e0df97c0ee72e8c04722bd145684db49a7095cb3b8e6ddc3			FALSE_POSITIVE_TECHNICAL|PUBLIC_INSTITUTIONAL_DATA|SYNTHETIC_EXAMPLE|PERSONAL_DATA_PRESENT						
15	$NEXUS_PII_REVIEW_ROOT/28c92cd742c6bc29890360b79d2518ae1960076b8512e5ccfe40fd0fe3572f32/document.pdf	HUMAN_DECISION + JUSTIFICATION_CATEGORY + REVIEWER_LOGIN (après ses findings)	PII_CONTENT	P1_PROMOTED_BLOCKS_RELEASE	28c92cd742c6bc29890360b79d2518ae1960076b8512e5ccfe40fd0fe3572f32	true	modele-d-architecture-de-von-neumann-pdf-243-56-ko--28c92cd742	01_EDUSCOL_OFFICIEL/LYCEE/TRANSVERSAL_MULTI_NIVEAUX/80_A_VERIFIER/NSI/07_DIAPORAMAS_SUPPORTS/2019/modele-d-architecture-de-von-neumann-pdf-243-56-ko--28c92cd742.pdf	MOYEN	phone_french	4	5					28c92cd742c6bc29890360b79d2518ae1960076b8512e5ccfe40fd0fe3572f32	APPROVED/TECHNICAL_FALSE_POSITIVE	NEEDS_SECONDARY_EVIDENCE	PII_CLEARED|PII_REDACTION_REQUIRED|EXCLUDE_FROM_SERVABLE_SET|HUMAN_REVIEW_REQUIRED						
16	$NEXUS_PII_REVIEW_ROOT/28c92cd742c6bc29890360b79d2518ae1960076b8512e5ccfe40fd0fe3572f32/pages/page-0005.txt	FINDING_DISPOSITION	PII_FINDING	P1_PROMOTED_BLOCKS_RELEASE	28c92cd742c6bc29890360b79d2518ae1960076b8512e5ccfe40fd0fe3572f32	true			MOYEN				23b76e5fd418491c84351c047355f64ed12c84577e1e6123bd3bc99c4e54ae75	phone_french	5	NATIVE_TEXT	28c92cd742c6bc29890360b79d2518ae1960076b8512e5ccfe40fd0fe3572f32			FALSE_POSITIVE_TECHNICAL|PUBLIC_INSTITUTIONAL_DATA|SYNTHETIC_EXAMPLE|PERSONAL_DATA_PRESENT						
17	$NEXUS_PII_REVIEW_ROOT/28c92cd742c6bc29890360b79d2518ae1960076b8512e5ccfe40fd0fe3572f32/pages/page-0005.txt	FINDING_DISPOSITION	PII_FINDING	P1_PROMOTED_BLOCKS_RELEASE	28c92cd742c6bc29890360b79d2518ae1960076b8512e5ccfe40fd0fe3572f32	true			MOYEN				72fcea96a232c641940241ecf1f3651bfe5fd768d4c54868efbc8dcc0d077500	phone_french	5	NATIVE_TEXT	28c92cd742c6bc29890360b79d2518ae1960076b8512e5ccfe40fd0fe3572f32			FALSE_POSITIVE_TECHNICAL|PUBLIC_INSTITUTIONAL_DATA|SYNTHETIC_EXAMPLE|PERSONAL_DATA_PRESENT						
18	$NEXUS_PII_REVIEW_ROOT/28c92cd742c6bc29890360b79d2518ae1960076b8512e5ccfe40fd0fe3572f32/pages/page-0005.txt	FINDING_DISPOSITION	PII_FINDING	P1_PROMOTED_BLOCKS_RELEASE	28c92cd742c6bc29890360b79d2518ae1960076b8512e5ccfe40fd0fe3572f32	true			MOYEN				bf51e9351d81218907b0ea199c9b69fd2c2a06cb480fa7061e6247aa8b655720	phone_french	5	NATIVE_TEXT	28c92cd742c6bc29890360b79d2518ae1960076b8512e5ccfe40fd0fe3572f32			FALSE_POSITIVE_TECHNICAL|PUBLIC_INSTITUTIONAL_DATA|SYNTHETIC_EXAMPLE|PERSONAL_DATA_PRESENT						
19	$NEXUS_PII_REVIEW_ROOT/28c92cd742c6bc29890360b79d2518ae1960076b8512e5ccfe40fd0fe3572f32/pages/page-0005.txt	FINDING_DISPOSITION	PII_FINDING	P1_PROMOTED_BLOCKS_RELEASE	28c92cd742c6bc29890360b79d2518ae1960076b8512e5ccfe40fd0fe3572f32	true			MOYEN				cf1b1eb22a803570ac127003be51cce73eccc15ed0d23a35cc586c4c1b8f11d7	phone_french	5	NATIVE_TEXT	28c92cd742c6bc29890360b79d2518ae1960076b8512e5ccfe40fd0fe3572f32			FALSE_POSITIVE_TECHNICAL|PUBLIC_INSTITUTIONAL_DATA|SYNTHETIC_EXAMPLE|PERSONAL_DATA_PRESENT						
20	$NEXUS_PII_REVIEW_ROOT/28f92cfe1c81f2a4bab17aa2a9bff9a05f43a265ecad03214fe452a4ac53202d/document.pdf	HUMAN_DECISION + JUSTIFICATION_CATEGORY + REVIEWER_LOGIN (après ses findings)	PII_CONTENT	P1_PROMOTED_BLOCKS_RELEASE	28f92cfe1c81f2a4bab17aa2a9bff9a05f43a265ecad03214fe452a4ac53202d	true	ecriture-de-tests-pdf-543-48-ko--28f92cfe1c	01_EDUSCOL_OFFICIEL/LYCEE/TERMINALE/NSI/03_RESSOURCES_ACCOMPAGNEMENT/2021/ecriture-de-tests-pdf-543-48-ko--28f92cfe1c.pdf	MOYEN	postal_address	1	7					28f92cfe1c81f2a4bab17aa2a9bff9a05f43a265ecad03214fe452a4ac53202d	APPROVED/TECHNICAL_FALSE_POSITIVE	NEEDS_SECONDARY_EVIDENCE	PII_CLEARED|PII_REDACTION_REQUIRED|EXCLUDE_FROM_SERVABLE_SET|HUMAN_REVIEW_REQUIRED						
